"userid","kanji","characterdataid","time","tries","helps","audio","iteration","session","strokes","experience","sessioniteration","ntries","nhelps"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",399,"2014-07-14 18:47:06","1.5","1.25",TRUE,2,0,4,0,2,"6.0","5.00"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",401,"2014-07-14 18:47:52","1.5","1",TRUE,3,0,4,0,3,"6.0","4"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",410,"2014-07-14 18:51:04","1.5","0",TRUE,4,0,4,0,4,"6.0","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",413,"2014-07-14 18:51:36","1.6","0.2",FALSE,2,0,5,0,2,"8.0","1.0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",414,"2014-07-14 18:51:55","1.25","0",TRUE,5,0,4,0,5,"5.00","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",416,"2014-07-14 18:52:11","1","0",FALSE,3,0,5,0,3,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",418,"2014-07-14 18:52:25","1","0",TRUE,6,0,4,0,6,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",864,"2014-07-15 10:06:17","4.75","1.75",TRUE,2,0,4,0,2,"19.00","7.00"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",866,"2014-07-15 10:07:06","1","0",TRUE,3,0,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",867,"2014-07-15 10:07:22","1","0",FALSE,4,0,5,0,4,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",868,"2014-07-15 10:07:36","1","0",TRUE,4,0,4,0,4,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",869,"2014-07-15 10:07:52","1.333333333","0.3333333333",TRUE,2,0,3,0,2,"3.999999999","0.9999999999"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",871,"2014-07-15 10:08:24","1","0",TRUE,3,0,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",872,"2014-07-15 10:08:54","1.375","0.5",FALSE,2,0,8,0,2,"11.000","4.0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",873,"2014-07-15 10:09:07","1","0.25",FALSE,2,0,4,0,2,"4","1.00"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",874,"2014-07-15 10:09:22","1","0.5",TRUE,7,0,4,0,7,"4","2.0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",875,"2014-07-15 10:09:35","1","0",FALSE,3,0,4,0,3,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",876,"2014-07-15 10:09:52","1","0",FALSE,3,0,8,0,3,"8","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",877,"2014-07-15 10:10:03","1","0",TRUE,4,0,3,0,4,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",878,"2014-07-15 10:10:22","1","0",FALSE,4,0,8,0,4,"8","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",879,"2014-07-15 10:10:33","1","0",TRUE,8,0,4,0,8,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",880,"2014-07-15 10:10:45","1","0",FALSE,4,0,4,0,4,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",881,"2014-07-15 10:11:03","1.333333333","1",TRUE,2,0,3,0,2,"3.999999999","3"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",882,"2014-07-15 10:11:18","1.333333333","1",TRUE,2,0,3,0,2,"3.999999999","3"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","雨",883,"2014-07-15 10:11:33","1","0",FALSE,5,0,8,0,5,"8","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",884,"2014-07-15 10:11:44","1.333333333","0",TRUE,3,0,3,0,3,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",885,"2014-07-15 10:11:58","1","0",TRUE,3,0,3,0,3,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","木",886,"2014-07-15 10:12:12","1","0",TRUE,5,0,4,0,5,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",887,"2014-07-15 10:12:22","1","0",TRUE,5,0,3,0,5,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",888,"2014-07-15 10:12:39","1","0",FALSE,5,0,5,0,5,"5","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",889,"2014-07-15 10:12:49","1","0",TRUE,4,0,3,0,4,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","天",890,"2014-07-15 10:13:00","1","0",FALSE,5,0,4,0,5,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",891,"2014-07-15 10:13:11","1","0",TRUE,4,0,3,0,4,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","日",892,"2014-07-15 10:13:23","1","0",TRUE,9,0,4,0,9,"4","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","上",893,"2014-07-15 10:13:29","1","0",TRUE,5,0,3,0,5,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",894,"2014-07-15 10:13:40","1.333333333","0",TRUE,6,0,3,0,6,"3.999999999","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","土",895,"2014-07-15 10:13:49","1.666666667","0",TRUE,5,0,3,0,5,"5.000000001","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","囗",896,"2014-07-15 10:13:58","1","0",TRUE,7,0,3,0,7,"3","0"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","大",897,"2014-07-15 10:14:13","1","1",TRUE,2,0,3,0,2,"3","3"
"16F0BBDD-9893-4601-9E28-D07FE3AB1959","甲",898,"2014-07-15 10:14:24","1","0",FALSE,6,0,5,0,6,"5","0"
